X0,DA-1d,DA-2d,DA-7d,DA_avg,DA_min,DA_max,DA_last,L,W,S,DayAhead
1,25.05,27.66,,37.22666666666665,23.06,48.08,27.56,45.83825,11.77425,0.0,28.07
1,26.16,26.68,,37.22666666666665,23.06,48.08,27.56,44.32725,11.22875,0.0,25.19
1,23.87,26.82,,37.22666666666665,23.06,48.08,27.56,43.373,10.8115,0.0,24.08
1,23.06,26.02,,37.22666666666665,23.06,48.08,27.56,43.594,10.23675,0.0,23.45
1,23.66,25.84,,37.22666666666665,23.06,48.08,27.56,45.04275,9.8025,0.0,23.66
1,26.4,28.25,,37.22666666666665,23.06,48.08,27.56,49.652,9.582,0.0,26.26
1,35.29,42.17,,37.22666666666665,23.06,48.08,27.56,58.3405,9.7045,0.0,34.3
1,45.81,52.0,,37.22666666666665,23.06,48.08,27.56,64.30025,9.631,0.0465,47.68
1,48.08,55.07,,37.22666666666665,23.06,48.08,27.56,66.5815,9.542,0.64025,50.03
1,46.87,53.01,,37.22666666666665,23.06,48.08,27.56,66.78825,9.33925,2.1135,49.84
1,47.21,51.56,,37.22666666666665,23.06,48.08,27.56,67.7545,8.9725,3.84925,49.02
1,46.95,49.08,,37.22666666666665,23.06,48.08,27.56,68.994,8.6575,5.26175,48.97
1,45.69,42.17,,37.22666666666665,23.06,48.08,27.56,68.41725,8.4245,5.9245,47.51
1,46.12,40.4,,37.22666666666665,23.06,48.08,27.56,67.473,7.823,5.795,47.07
1,43.92,38.84,,37.22666666666665,23.06,48.08,27.56,66.1385,7.46025,5.1905,45.94
1,41.27,40.97,,37.22666666666665,23.06,48.08,27.56,64.6765,7.2805,4.275,45.95
1,40.0,41.38,,37.22666666666665,23.06,48.08,27.56,62.95325,7.028,2.83025,44.2
1,40.55,44.61,,37.22666666666665,23.06,48.08,27.56,62.94175,7.097,1.324,45.74
1,41.91,45.1,,37.22666666666665,23.06,48.08,27.56,64.12225,7.38325,0.20675,49.58
1,45.87,51.75,,37.22666666666665,23.06,48.08,27.56,66.224,7.582,0.0,56.56
1,39.91,45.45,,37.22666666666665,23.06,48.08,27.56,62.63725,7.7775,0.0,49.56
1,32.18,33.26,,37.22666666666665,23.06,48.08,27.56,58.48825,7.4725,0.0,41.52
1,30.05,28.06,,37.22666666666665,23.06,48.08,27.56,53.90875,7.166,0.0,36.36
1,27.56,27.01,,37.22666666666665,23.06,48.08,27.56,49.12275,6.54225,0.0,30.99
1,28.07,25.05,30.03,40.48041666666668,23.45,56.56,30.99,45.5355,5.75925,0.0,32.2
1,25.19,26.16,30.09,40.48041666666668,23.45,56.56,30.99,43.79325,5.059,0.0,28.72
1,24.08,23.87,28.62,40.48041666666668,23.45,56.56,30.99,42.86825,4.41775,0.0,28.08
1,23.45,23.06,29.14,40.48041666666668,23.45,56.56,30.99,43.16425,3.79675,0.0,27.95
1,23.66,23.66,29.4,40.48041666666668,23.45,56.56,30.99,44.8605,3.54225,0.0,28.42
1,26.26,26.4,32.77,40.48041666666668,23.45,56.56,30.99,48.65225,3.34125,0.0,34.76
1,34.3,35.29,44.97,40.48041666666668,23.45,56.56,30.99,57.2115,3.28475,0.00025,46.49
1,47.68,45.81,56.0,40.48041666666668,23.45,56.56,30.99,63.6225,3.2005,0.04775,55.7
1,50.03,48.08,59.06,40.48041666666668,23.45,56.56,30.99,65.508,2.866,0.823,59.84
1,49.84,46.87,48.46,40.48041666666668,23.45,56.56,30.99,65.94475,2.41475,2.50925,61.14
1,49.02,47.21,34.45,40.48041666666668,23.45,56.56,30.99,66.99925,2.0675,4.63675,59.13
1,48.97,46.95,30.44,40.48041666666668,23.45,56.56,30.99,68.13275,1.8675,6.44075,56.0
1,47.51,45.69,29.14,40.48041666666668,23.45,56.56,30.99,67.7745,1.70825,7.4925,52.46
1,47.07,46.12,30.02,40.48041666666668,23.45,56.56,30.99,66.8615,1.65725,7.13625,51.05
1,45.94,43.92,28.81,40.48041666666668,23.45,56.56,30.99,65.384,1.53475,6.257,50.78
1,45.95,41.27,31.38,40.48041666666668,23.45,56.56,30.99,64.41975,1.516,4.86525,50.22
1,44.2,40.0,36.26,40.48041666666668,23.45,56.56,30.99,62.9615,1.44475,3.132,50.0
1,45.74,40.55,44.48,40.48041666666668,23.45,56.56,30.99,62.944,1.364,1.2565,51.69
1,49.58,41.91,51.57,40.48041666666668,23.45,56.56,30.99,64.19375,1.34975,0.11225,55.99
1,56.56,45.87,61.0,40.48041666666668,23.45,56.56,30.99,65.92025,1.40075,0.0,72.7
1,49.56,39.91,55.0,40.48041666666668,23.45,56.56,30.99,62.30025,1.53925,0.0,58.04
1,41.52,32.18,44.95,40.48041666666668,23.45,56.56,30.99,57.981,1.5415,0.0,43.98
1,36.36,30.05,39.96,40.48041666666668,23.45,56.56,30.99,53.909,1.47975,0.0,40.99
1,30.99,27.56,30.43,40.48041666666668,23.45,56.56,30.99,49.012,1.355,0.0,35.06
1,32.2,28.07,31.37,47.14124999999999,27.95,72.7,35.06,45.4665,1.12225,0.0,33.12
