X0,DA_Forecast,ID*,L,W,S,Intraday
1,53.94,36.4424489957612,67.15975,5.252,3.592,63.6544548505601
1,46.7,27.7119617209541,68.57425,4.84475,5.6925,63.754665832964
1,43.97,28.06,69.6785,4.51975,7.143,68.119073483774
1,40.82,26.4,68.76275,4.38825,7.6595,75.716777929991
1,41.45,26.35,67.75925,4.277,7.064,80.3316362418873
1,41.91,27.33,66.3585,4.38875,5.5815,72.1141255112862
1,42.54,29.08,65.41825,4.584,3.69175,59.445504170655
1,43.85,32.65,64.2825,4.50775,1.96,55.4008294258107
1,48.17,47.01,64.5115,4.437,0.58075,53.3259158186864
1,53.91,53.33,66.41625,4.6345,0.03875,58.4987673180628
1,61.89,66.87,67.588,4.70975,0.0,73.7736683410054
1,50.12,51.61,63.38,4.60225,0.0,59.9364967548193
1,40.09,41.51,59.3915,4.69725,0.0,54.0786031230481
1,37.16,32.72,55.607,4.63475,0.0,48.432333283914
1,32.22,31.42,51.24625,4.7425,0.0,38.2475593329057
1,31.47,29.9019529669589,47.91025,4.72975,0.0,37.1963028757365
1,29.15,29.3942344896598,45.86875,4.506,0.0,36.5402486997636
1,27.77,32.0315704562642,45.171,4.50625,0.0,32.7988324547656
1,27.75,31.6560607950117,45.6075,4.41625,0.0,32.1396821407451
1,28.08,31.176339076499,47.16625,4.91725,0.0,33.3397171898356
1,30.47,33.6767812049062,50.57725,5.297,0.0,36.6841513163096
1,41.49,40.7360520910361,58.746,5.54975,0.00025,43.3041334184488
1,55.08,55.3207902320643,65.6885,5.9235,0.01575,55.0576915538678
1,63.06,64.4057624325327,68.3585,6.0455,0.3705,62.1339061459951
1,61.21,63.6544548505601,68.74025,5.8195,1.1905,64.8997167864513
1,60.05,63.754665832964,69.834,5.599,2.563,67.7515197013188
1,61.95,43.97,70.6635,5.514,3.52625,69.8852360556177
1,55.17,40.82,70.1985,5.47175,3.82925,63.3403159932315
1,51.95,41.45,68.982,5.81075,3.691,61.1948879026617
1,46.81,41.91,68.128,6.15875,3.25225,60.1825786509496
1,45.99,42.54,67.39675,6.437,2.551,56.99099651059
1,46.87,43.85,65.8625,6.138,1.44525,54.3363526860134
1,47.95,48.17,65.612,5.9705,0.46075,54.3956349976224
1,51.98,53.91,67.24825,6.33575,0.03275,64.8815816822701
1,57.07,61.89,67.8215,6.34975,0.0,93.0154042817025
1,46.0,50.12,63.767,5.92175,0.0,59.3766259443554
1,36.95,40.09,59.624,5.994,0.0,51.8341263697719
1,36.99,37.16,55.907,5.6085,0.0,48.8862309882275
1,31.59,32.22,51.13675,4.9745,0.0,39.9859359442994
1,32.09,37.1963028757365,47.53425,4.0315,0.0,36.9383577546542
1,30.66,36.5402486997636,45.61125,3.87875,0.0,34.9295435435435
1,28.76,32.7988324547656,44.8415,4.17025,0.0,35.0728781113677
1,28.25,32.1396821407451,45.0665,4.3975,0.0,34.1785620804661
1,28.09,33.3397171898356,46.555,5.0595,0.0,34.318811170511
