X0,W*,Forecast Wind,FW-1h,FW+1h,Wind
1,6.0585,1.82625,1.84775,1.81675,1.44475
1,5.86825,1.81675,1.82625,1.8645,1.364
1,5.9375,1.8645,1.81675,1.9045,1.34975
1,6.096,1.9045,1.8645,1.949,1.40075
1,6.24925,1.949,1.9045,1.96875,1.53925
1,6.3525,1.96875,1.949,1.9445,1.5415
1,6.3415,1.9445,1.96875,1.89225,1.47975
1,6.121,1.89225,1.9445,1.14725,1.355
1,5.75925,1.14725,1.89225,1.1125,1.12225
1,5.059,1.1125,1.14725,1.07125,1.04875
1,4.41775,1.07125,1.1125,1.08775,1.02525
1,3.79675,1.08775,1.07125,1.1165,1.06775
1,3.54225,1.1165,1.08775,1.1425,1.0905
1,3.34125,1.1425,1.1165,1.18125,1.13625
1,3.28475,1.18125,1.1425,1.2165,1.13775
1,3.2005,1.2165,1.18125,1.21,1.22875
1,2.866,1.21,1.2165,1.14775,1.3235
1,2.41475,1.14775,1.21,1.1325,1.204
1,2.0675,1.1325,1.14775,1.1125,1.04075
1,2.19125,1.1125,1.1325,1.11075,1.03075
1,2.0765,1.11075,1.1125,1.1365,1.14275
1,2.00425,1.1365,1.11075,1.21175,1.17875
1,1.90375,1.21175,1.1365,1.341,1.18325
1,1.84775,1.341,1.21175,1.561,1.20525
1,1.82625,1.561,1.341,1.89525,1.45125
1,1.81675,1.89525,1.561,2.259,1.84075
1,1.8645,2.259,1.89525,2.62175,2.47625
1,1.9045,2.62175,2.259,2.8625,3.28025
1,1.949,2.8625,2.62175,2.93325,3.9615
1,1.96875,2.93325,2.8625,3.002,4.218
1,1.9445,3.002,2.93325,3.10925,4.358
1,1.89225,3.10925,3.002,3.54625,4.34275
1,1.12225,3.54625,3.10925,3.4145,4.34875
1,1.04875,3.4145,3.54625,3.272,4.49125
1,1.02525,3.272,3.4145,3.2485,4.52675
1,1.06775,3.2485,3.272,3.34575,4.50025
1,1.0905,3.34575,3.2485,3.5715,4.684
1,1.13625,3.5715,3.34575,3.87475,4.6645
1,1.13775,3.87475,3.5715,4.1365,4.9305
1,1.22875,4.1365,3.87475,4.21,4.93225
1,1.3235,4.21,4.1365,4.09525,5.119
1,1.204,4.09525,4.21,4.06425,4.70275
1,1.04075,4.06425,4.09525,4.3005,4.54625
1,1.1125,4.3005,4.06425,4.73475,5.54975
1,1.11075,4.73475,4.3005,5.14025,6.5595
1,1.1365,5.14025,4.73475,5.474,6.93
1,1.21175,5.474,5.14025,5.92675,6.98875
1,1.341,5.92675,5.474,6.55875,7.558
1,1.561,6.55875,5.92675,7.2965,8.526
1,1.89525,7.2965,6.55875,8.199,8.94475
1,2.259,8.199,7.2965,9.2325,9.989
1,2.62175,9.2325,8.199,9.993,12.15
1,2.8625,9.993,9.2325,10.44875,13.70575
1,2.93325,10.44875,9.993,10.712,14.3745
1,3.002,10.712,10.44875,10.6325,14.2875
1,3.10925,10.6325,10.712,11.2925,13.8965
1,4.34875,11.2925,10.6325,10.97075,13.26175
1,4.49125,10.97075,11.2925,10.574,12.97475
1,4.52675,10.574,10.97075,10.3225,12.88325
1,4.50025,10.3225,10.574,10.18825,12.8075
1,4.684,10.18825,10.3225,10.287,12.42
1,4.6645,10.287,10.18825,10.56375,12.2745
1,4.9305,10.56375,10.287,10.77375,12.4125
1,4.93225,10.77375,10.56375,10.65,12.7535
1,5.119,10.65,10.77375,10.26,12.36225
1,4.70275,10.26,10.65,10.0525,10.48
1,4.54625,10.0525,10.26,10.21675,10.28525
1,4.3005,10.21675,10.0525,10.875,13.57675
1,4.73475,10.875,10.21675,11.62,14.967
1,5.14025,11.62,10.875,12.13325,14.5825
1,5.474,12.13325,11.62,12.132,14.54225
1,5.92675,12.132,12.13325,11.853,15.05175
1,6.55875,11.853,12.132,11.4745,14.94925
1,7.2965,11.4745,11.853,10.96475,13.6335
1,8.199,10.96475,11.4745,10.83025,12.564
1,9.2325,10.83025,10.96475,11.055,14.302
1,9.993,11.055,10.83025,11.20575,15.702
1,10.44875,11.20575,11.055,11.136,15.92275
1,10.712,11.136,11.20575,10.78725,15.336
1,10.6325,10.78725,11.136,10.568,14.654
1,13.26175,10.568,10.78725,9.7635,13.63925
1,12.97475,9.7635,10.568,8.962,12.701
1,12.88325,8.962,9.7635,8.38375,11.90475
1,12.8075,8.38375,8.962,8.048,11.08725
1,12.42,8.048,8.38375,7.9395,10.365
1,12.2745,7.9395,8.048,8.08225,10.11375
1,12.4125,8.08225,7.9395,8.16275,10.20025
1,12.7535,8.16275,8.08225,7.6885,10.007
1,12.36225,7.6885,8.16275,6.557,8.81625
1,10.48,6.557,7.6885,5.6525,6.49725
1,10.28525,5.6525,6.557,5.53225,5.632
1,10.21675,5.53225,5.6525,5.69175,7.04575
1,10.875,5.69175,5.53225,6.017,8.24325
1,11.62,6.017,5.69175,6.218,7.8715
1,12.13325,6.218,6.017,6.33175,7.2715
1,12.132,6.33175,6.218,6.3925,7.6115
1,11.853,6.3925,6.33175,6.253,8.007
1,11.4745,6.253,6.3925,6.4455,7.93225
1,10.96475,6.4455,6.253,7.2435,8.5415
1,10.83025,7.2435,6.4455,7.799,9.92475
1,11.055,7.799,7.2435,7.908,10.76725
