X0,XS,S*,Forecast Solar,FS-1h,FS+1h,Solar
1,0.45,0.0,0.00025,0.07525,0.0,0.0
1,0.45,0.0,0.0,0.00025,0.0,0.0
1,0.45,0.0,0.0,0.0,0.0,0.0
1,0.45,0.0,0.0,0.0,0.0,0.0
1,0.45,0.0,0.0,0.0,0.0,0.0
1,0.4479166666666667,0.0,0.0,0.0,0.0,0.0
1,0.4479166666666667,0.0,0.0,0.0,0.0,0.0
1,0.4479166666666667,0.0,0.0,0.0,0.0,0.0
1,0.4479166666666667,0.0,0.0,0.0,0.0,0.0
1,0.4479166666666667,0.0,0.0,0.0,0.0,0.0
1,0.4479166666666667,0.0,0.0,0.0,0.0,0.0
1,0.4479166666666667,0.00025,0.0,0.0,0.01025,0.0
1,0.4479166666666667,0.01575,0.01025,0.0,0.182,0.008
1,0.4479166666666667,0.3705,0.182,0.01025,0.603,0.1945
1,0.4479166666666667,1.1905,0.603,0.182,1.207,0.84375
1,0.4479166666666667,2.563,1.207,0.603,1.83025,1.5935
1,0.4479166666666667,4.519,1.83025,1.207,2.29725,2.165
1,0.4479166666666667,5.27625,2.29725,1.83025,2.4245,2.317
1,0.4479166666666667,5.38525,2.4245,2.29725,2.2415,2.24325
1,0.4479166666666667,4.8515,2.2415,2.4245,1.74,1.90825
1,0.4479166666666667,3.76425,1.74,2.2415,0.99425,1.4495
1,0.4479166666666667,2.2205,0.99425,1.74,0.32725,0.75075
1,0.4479166666666667,0.78175,0.32725,0.99425,0.028,0.198
1,0.4479166666666667,0.07525,0.028,0.32725,0.0,0.0115
1,0.4479166666666667,0.00025,0.0,0.028,0.0,0.0
1,0.4479166666666667,0.0,0.0,0.0,0.0,0.0
1,0.4479166666666667,0.0,0.0,0.0,0.0,0.0
1,0.4479166666666667,0.0,0.0,0.0,0.0,0.0
1,0.4479166666666667,0.0,0.0,0.0,0.0,0.0
1,0.4444444444444458,0.0,0.0,0.0,0.0,0.0
1,0.4444444444444458,0.0,0.0,0.0,0.0,0.0
1,0.4444444444444458,0.0,0.0,0.0,0.0,0.0
1,0.4444444444444458,0.0,0.0,0.0,0.0,0.0
1,0.4444444444444458,0.0,0.0,0.0,0.0,0.0
1,0.4444444444444458,0.0,0.0,0.0,0.0,0.0
1,0.4444444444444458,0.0,0.0,0.0,0.01225,0.0
1,0.4444444444444458,0.008,0.01225,0.0,0.22025,0.0095
1,0.4444444444444458,0.1945,0.22025,0.01225,0.70025,0.2445
