X0,D1,D2,D3,L*,L-2d,L-7d,Forecast Load,FW,FS,FL_avg,FL_max,FL_min,Load
1,0.0,0.0,0.0,38.77175,36.23375,,42.34725,9.506,0.0,57.05422916666666,68.00475,41.39675,43.726
1,0.0,0.0,0.0,38.39,35.11125,,41.39675,9.45725,0.0,57.05422916666666,68.00475,41.39675,43.158
1,0.0,0.0,0.0,39.20025,34.90075,,41.779,9.4375,0.0,57.05422916666666,68.00475,41.39675,43.2375
1,0.0,0.0,0.0,40.6835,35.276,,43.08575,9.48175,0.0,57.05422916666666,68.00475,41.39675,44.57875
1,0.0,0.0,0.0,45.42925,35.77925,,47.0885,9.545,0.0,57.05422916666666,68.00475,41.39675,48.95425
1,0.0,0.0,0.0,55.752,36.66025,,56.1545,9.744,0.001,57.05422916666666,68.00475,41.39675,58.21825
1,0.0,0.0,0.0,61.9105,38.43175,,61.75025,10.041,0.10725,57.05422916666666,68.00475,41.39675,64.392
1,0.0,0.0,0.0,63.5435,42.03775,,64.239,10.19025,1.03,57.05422916666666,68.00475,41.39675,66.60325
1,0.0,0.0,0.0,63.9505,45.498,,65.05275,10.24225,2.619,57.05422916666666,68.00475,41.39675,67.34225
1,0.0,0.0,0.0,65.16475,48.155,,66.297,10.1895,4.35275,57.05422916666666,68.00475,41.39675,68.60625
1,0.0,0.0,0.0,66.9275,50.6035,,68.00475,10.16975,5.965,57.05422916666666,68.00475,41.39675,69.53975
1,0.0,0.0,0.0,66.59275,49.4005,,67.70775,10.26275,6.9555,57.05422916666666,68.00475,41.39675,69.05725
1,0.0,0.0,0.0,66.12325,47.83275,,66.72925,10.308,7.099,57.05422916666666,68.00475,41.39675,68.3465
1,0.0,0.0,0.0,63.9705,46.24275,,64.93325,10.4765,6.51575,57.05422916666666,68.00475,41.39675,66.60175
1,0.0,0.0,0.0,62.63825,45.51125,,63.31475,10.79425,5.32725,57.05422916666666,68.00475,41.39675,65.30275
1,0.0,0.0,0.0,60.3735,45.4745,,61.6745,11.2605,3.49975,57.05422916666666,68.00475,41.39675,63.98725
