X0,DA_Forecast,ID*,-FL,-FW,-FS,-FL_1d,-FW_1d,-FS_1d,Intraday
1,42.17,29.24,-66.59275,-2.20575,-15.458,-50.1525,-1.796,-12.04575,33.8907392780782
1,40.4,27.09,-66.12325,-2.5555,-15.4535,-48.323,-1.918,-12.28325,32.4995286504349
1,38.84,26.06,-63.9705,-2.96175,-14.03725,-46.1385,-1.9785,-11.3625,31.404909122554
1,40.97,26.01,-62.63825,-3.2775,-11.39125,-45.11675,-1.92775,-9.31525,30.2396546541845
1,41.38,25.44,-60.3735,-3.61725,-7.399,-44.617,-1.76375,-6.38725,31.8639663289631
1,44.61,31.8,-59.7445,-4.199,-3.2375,-45.9565,-1.53925,-3.076,39.5988088929847
1,45.1,40.48,-60.15075,-5.46375,-0.42425,-48.18275,-1.42625,-0.4815,45.3916604303087
1,51.75,46.99,-62.26975,-7.044,-0.00425,-50.4295,-1.32725,-0.0045,53.6114374904827
1,45.45,44.9,-60.1155,-8.41475,-0.0,-49.7615,-1.2395,-0.0,42.5849344158008
1,33.26,40.95,-56.50975,-8.9745,-0.0,-47.4715,-1.2555,-0.0,31.8905403729116
1,28.06,40.41,-51.44225,-9.233,-0.0,-46.16575,-1.22825,-0.0,28.7148731229597
1,27.01,33.96,-46.466,-9.29775,-0.0,-42.70325,-1.19025,-0.0,26.7913007374158
1,25.05,26.825019729762,-44.22975,-9.54575,-0.0,-39.421,-1.329,-0.0,23.9477535934292
1,26.16,28.3481720525568,-42.34725,-9.506,-0.0,-37.8905,-1.282,-0.0,21.5328575037898
1,23.87,27.6086315122054,-41.39675,-9.45725,-0.0,-37.212,-1.29925,-0.0,16.9929657367534
1,23.06,24.669143663739,-41.779,-9.4375,-0.0,-37.6635,-1.41875,-0.0,12.6731870572063
1,23.66,26.0223731059038,-43.08575,-9.48175,-0.0,-39.33275,-1.579,-0.0,7.93450954259516
1,26.4,24.2326410720753,-47.0885,-9.545,-0.0,-43.82775,-1.8125,-0.0,15.4215705993271
1,35.29,34.2622765984492,-56.1545,-9.744,-0.001,-53.4485,-2.099,-0.002,29.9359427539664
1,45.81,45.2342722796433,-61.75025,-10.041,-0.10725,-59.67625,-2.45325,-0.217,41.7082197712179
1,48.08,49.1590607586798,-64.239,-10.19025,-1.03,-62.6415,-2.60175,-1.9175,44.9364790702011
1,46.87,48.1567594661167,-65.05275,-10.24225,-2.619,-63.8585,-2.382,-4.9435,44.5194831545109
1,47.21,36.9615819971122,-66.297,-10.1895,-4.35275,-65.30475,-2.05025,-8.96875,43.0075897342676
1,46.95,49.08,-68.00475,-10.16975,-5.965,-66.9275,-2.00825,-13.19775,40.0466028701106
1,45.69,42.17,-67.70775,-10.26275,-6.9555,-66.59275,-2.20575,-15.458,38.4871983382111
1,46.12,40.4,-66.72925,-10.308,-7.099,-66.12325,-2.5555,-15.4535,40.7854125814193
1,43.92,38.84,-64.93325,-10.4765,-6.51575,-63.9705,-2.96175,-14.03725,42.6020877293578
